id,app_name,genre,rating,reviews,cost_label,rate_5_pc,rate_4_pc,rate_3_pc,rate_2_pc,rate_1_pc,updated,size,installs,current_version,requires_android,content_rating,in_app_products,offered_by
1724,TVHClient,Entertainment,4.0,851 total,Install,62.8931,11.9497,5.66038,4.40252,15.0943,"February 24, 2020",Varies with device,"50,000+",Varies with device,Varies with device,Rated for 3+,"₫40,351 per item",Robert Siebert
1725,Nepali Songs Lyrics and Chords,Music & Audio,4.0,188 total,Install,61.3497,10.4294,11.6564,4.90798,11.6564,"February 22, 2020",6.7M,"50,000+",3.1,4.3 and up,Rated for 3+,,XurajB Labs
1726,Amazing Psychology Facts,Books & Reference,4.4,"9,611 total",Install,68.0272,15.6463,7.482989999999999,4.0816300000000005,4.7619,"March 1, 2020",8.3M,"1,000,000+",1.8,4.1 and up,Rated for 3+,"₫45,000 per item",GV apps
1727,Cathay Pacific,Travel & Local,3.2,"5,011 total",Install,40.0,11.6,9.2,7.2,32.0,"March 31, 2020",97M,"1,000,000+",6.21.0,6.0 and up,Rated for 3+,,Cathay Pacific Airways Limited
1728,VSaaS.io,Tools,,,Install,,,,,,"April 17, 2020",33M,100+,20.04.1-vsaasio,4.1 and up,Rated for 3+,,Erlyvideo
1729,Merge Empires,Strategy,2.9,425 total,Install,36.0784,7.843139999999999,7.843139999999999,9.01961,39.2157,"April 23, 2020",83M,"100,000+",2.2.29,5.0 and up,Rated for 3+,"₫24,000 - ₫2,350,000 per item",Elex
1730,�?�惑仔V 洪興崛起,Role Playing,3.5,964 total,Install,49.505,8.91089,9.90099,3.9604,27.7228,"July 27, 2018",93M,"50,000+",2.10,4.0.3 and up,Rated for 12+,"₫23,000 - ₫2,300,000 per item",GAMEONE GROUP LIMITED
1731,Little Red-Cap. Brothers Grimm,Books & Reference,,,Install,,,,,,"September 1, 2014",5.5M,100+,1.0,2.1 and up,Rated for 3+,,AllDigits Publishing
1732,Право�?лавный календарь,Lifestyle,4.5,726 total,Install,78.7402,7.87402,5.51181,2.3622,5.51181,"February 27, 2017",5.9M,"100,000+",1.1.2,2.3.3 and up,Rated for 3+,,Irina Avdoshka
1733,Со�?тавить формулы по физике,Education,4.2,141 total,Install,66.2252,15.2318,5.29801,2.6490099999999996,10.595999999999998,"February 1, 2020",5.6M,"10,000+",2.4,4.4 and up,Rated for 3+,"₫19,000 - ₫370,000 per item",Zelyder
1734,Always Positive - Daily Motivational Quotes,Lifestyle,4.6,"6,169 total",Install,72.9927,21.8978,4.37956,0.0,0.729927,"January 14, 2020",5.1M,"100,000+",1.43,4.0.3 and up,Rated for 12+,"₫67,000 per item",VizNext
1735,Дорожные Знаки ПДД,Education,4.7,"4,202 total",Install,86.9565,6.0869599999999995,2.6087,0.8695649999999999,3.4782599999999997,"February 10, 2020",9.5M,"500,000+",3.0.4,4.1 and up,Rated for 3+,"₫70,000 per item",Oleg Barkov
1736,ImmobilienScout24 Austria - Houses & Apartments,Lifestyle,4.3,"1,117 total",Install,71.9424,11.5108,5.03597,3.59712,7.91367,"April 23, 2020",Varies with device,"100,000+",Varies with device,Varies with device,Rated for 3+,,Immobilien Scout Österreich GmbH
1737,SIPYCALL Saudi Arab,Communication,4.6,560 total,Install,90.0901,1.8018,0.9009010000000001,0.0,7.207210000000001,"March 4, 2019",5.9M,"50,000+",3.9.3,4.1 and up,Rated for 3+,,SIPY CALL
1738,Loan Calculators,Finance,4.6,"1,024 total",Install,81.9672,9.01639,1.6393400000000002,2.45902,4.91803,"February 22, 2018",Varies with device,"100,000+",Varies with device,Varies with device,Rated for 3+,,AndTek: Productivity Tools
1739,Financial Calculators,Finance,4.4,263 total,Install,70.4225,16.9014,5.6338,1.40845,5.6338,"October 10, 2019",2.9M,"10,000+",1.05,4.1 and up,Rated for 3+,,Financept
1740,WaystoCap.com B2B Trade Chat App for Africa,Business,4.6,23 total,Install,78.7402,8.66142,8.66142,3.93701,0.0,"February 14, 2019",5.6M,"5,000+",2.3.6,4.4 and up,Rated for 3+,,WaystoCap
1741,عالم الديناصورات Dino World,Education,3.8,394 total,Install,62.8931,6.918239999999999,3.7735800000000004,5.66038,20.7547,"May 21, 2014",2.9M,"50,000+",3.0,2.3 and up,Rated for 3+,,Android4Canada
1742,Quick photo find,Photography,4.0,28 total,Install,57.4713,14.3678,10.3448,3.4482800000000005,14.3678,"July 13, 2014",1.2M,"1,000+",2.0,2.2 and up,Rated for 3+,,Android4Canada
1743,Time Tracking App TimeCamp,Productivity,4.1,418 total,Install,59.1716,23.0769,3.5503,3.5503,10.6509,"February 17, 2020",31M,"10,000+",2.3.3,4.1 and up,Rated for 3+,,TimeCamp S.A.
1744,Windspay,Shopping,,,Install,,,,,,"January 11, 2018",5.9M,100+,0.2,4.0.3 and up,Rated for 3+,,AIRPAZ
1745,StarHub Business Manager,Business,2.2,38 total,Install,23.7805,2.43902,4.87805,7.926830000000001,60.9756,"March 4, 2020",6.7M,"1,000+",1.1.2,5.0 and up,Rated for 3+,,StarHub
1746,Radisson Hotels – Hotel Booking,Travel & Local,3.7,213 total,Install,58.4795,8.771930000000001,5.26316,2.33918,25.1462,"April 22, 2020",15M,"50,000+",1.9.0,5.0 and up,Rated for 3+,,"Radisson Hospitality, Inc."
